municipio_norm,uf_sigla,municipio_ri_norm,observacao
ESPIGAO ALTO DO IGUACU,PR,QUEDAS DO IGUACU,Importado da revisao - sugestao distancia (QUEDAS DO IGUACU)
FAROL,PR,CAMPO MOURAO,Importado da revisao - sugestao distancia (CAMPO MOURAO)
FERNANDES PINHEIRO,PR,TEIXEIRA SOARES,Importado da revisao - sugestao distancia (TEIXEIRA SOARES)
FIGUEIRA,PR,IBAITI,Importado da revisao - sugestao distancia (IBAITI)
FLOR DA SERRA DO SUL,PR,MARMELEIRO,Importado da revisao - sugestao distancia (MARMELEIRO)
FLORAI,PR,NOVA ESPERANCA,Importado da revisao - sugestao distancia (NOVA ESPERANCA)
FLORESTA,PR,MARINGA,Importado da revisao - sugestao distancia (MARINGA)
FLORESTOPOLIS,PR,PORECATU,Importado da revisao - sugestao distancia (PORECATU)
FLORIDA,PR,SANTA FE,Importado da revisao - sugestao distancia (SANTA FE)
FOZ DO JORDAO,PR,MANGUEIRINHA,Importado da revisao - sugestao distancia (MANGUEIRINHA)
FRANCISCO ALVES,PR,IPORA,Importado da revisao - sugestao distancia (IPORA)
FENIX,PR,BARBOSA FERRAZ,Importado da revisao - sugestao distancia (BARBOSA FERRAZ)
GENERAL CARNEIRO,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
GODOY MOREIRA,PR,BARBOSA FERRAZ,Importado da revisao - sugestao distancia (BARBOSA FERRAZ)
GOIOXIM,PR,CANTAGALO,Importado da revisao - sugestao distancia (CANTAGALO)
GUAIRACA,PR,TERRA RICA,Importado da revisao - sugestao distancia (TERRA RICA)
GUAMIRANGA,PR,PRUDENTOPOLIS,Importado da revisao - sugestao distancia (PRUDENTOPOLIS)
GUAPIRAMA,PR,JOAQUIM TAVORA,Importado da revisao - sugestao distancia (JOAQUIM TAVORA)
GUAPOREMA,PR,CIDADE GAUCHA,Importado da revisao - sugestao distancia (CIDADE GAUCHA)
GUARACI,PR,CENTENARIO DO SUL,Importado da revisao - sugestao distancia (CENTENARIO DO SUL)
GUARAQUECABA,PR,PARANAGUA,Importado da revisao - sugestao distancia (PARANAGUA)
HONORIO SERPA,PR,CORONEL VIVIDA,Importado da revisao - sugestao distancia (CORONEL VIVIDA)
IBEMA,PR,GUARANIACU,Importado da revisao - sugestao distancia (GUARANIACU)
IGUARACU,PR,ASTORGA,Importado da revisao - sugestao distancia (ASTORGA)
IGUATU,PR,UBIRATA,Importado da revisao - sugestao distancia (UBIRATA)
IMBAU,PR,TELEMACO BORBA,Importado da revisao - sugestao distancia (TELEMACO BORBA)
INAJA,PR,PARANACITY,Importado da revisao - sugestao distancia (PARANACITY)
INDIANOPOLIS,PR,CIANORTE,Importado da revisao - sugestao distancia (CIANORTE)
INACIO MARTINS,PR,REBOUCAS,Importado da revisao - sugestao distancia (REBOUCAS)
IRACEMA DO OESTE,PR,NOVA AURORA,Importado da revisao - sugestao distancia (NOVA AURORA)
ITAGUAJE,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
ITAIPULANDIA,PR,SAO MIGUEL DO IGUACU,Importado da revisao - sugestao distancia (SAO MIGUEL DO IGUACU)
ITAMBARACA,PR,BANDEIRANTES,Importado da revisao - sugestao distancia (BANDEIRANTES)
ITAMBE,PR,SARANDI,Importado da revisao - sugestao distancia (SARANDI)
ITAPEJARA D'OESTE,PR,CERRO AZUL,Importado da revisao - sugestao distancia (CERRO AZUL)
ITAPERUCU,PR,RIO BRANCO DO SUL,Importado da revisao - sugestao distancia (RIO BRANCO DO SUL)
ITAUNA DO SUL,PR,NOVA LONDRINA,Importado da revisao - sugestao distancia (NOVA LONDRINA)
IVATUBA,PR,ENGENHEIRO BELTRAO,Importado da revisao - sugestao distancia (ENGENHEIRO BELTRAO)
IVATE,PR,ICARAIMA,Importado da revisao - sugestao distancia (ICARAIMA)
IVAI,PR,PRUDENTOPOLIS,Importado da revisao - sugestao distancia (PRUDENTOPOLIS)
JABOTI,PR,TOMAZINA,Importado da revisao - sugestao distancia (TOMAZINA)
JANIOPOLIS,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
JAPIRA,PR,IBAITI,Importado da revisao - sugestao distancia (IBAITI)
JAPURA,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
JARDIM ALEGRE,PR,IVAIPORA,Importado da revisao - sugestao distancia (IVAIPORA)
JARDIM OLINDA,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
JATAIZINHO,PR,IBIPORA,Importado da revisao - sugestao distancia (IBIPORA)
JESUITAS,PR,FORMOSA DO OESTE,Importado da revisao - sugestao distancia (FORMOSA DO OESTE)
JUNDIAI DO SUL,PR,RIBEIRAO DO PINHAL,Importado da revisao - sugestao distancia (RIBEIRAO DO PINHAL)
JURANDA,PR,CAMPINA DA LAGOA,Importado da revisao - sugestao distancia (CAMPINA DA LAGOA)
JUSSARA,PR,CIANORTE,Importado da revisao - sugestao distancia (CIANORTE)
KALORE,PR,SAO JOAO DO IVAI,Importado da revisao - sugestao distancia (SAO JOAO DO IVAI)
LARANJAL,PR,PALMITAL,Importado da revisao - sugestao distancia (PALMITAL)
LEOPOLIS,PR,URAI,Importado da revisao - sugestao distancia (URAI)
LIDIANOPOLIS,PR,GRANDES RIOS,Importado da revisao - sugestao distancia (GRANDES RIOS)
LINDOESTE,PR,CAPITAO LEONIDAS MARQUES,Importado da revisao - sugestao distancia (CAPITAO LEONIDAS MARQUES)
LOBATO,PR,SANTA FE,Importado da revisao - sugestao distancia (SANTA FE)
LUIZIANA,PR,IRETAMA,Importado da revisao - sugestao distancia (IRETAMA)
LUNARDELLI,PR,SAO JOAO DO IVAI,Importado da revisao - sugestao distancia (SAO JOAO DO IVAI)
LUPIONOPOLIS,PR,CENTENARIO DO SUL,Importado da revisao - sugestao distancia (CENTENARIO DO SUL)
MANDIRITUBA,PR,FAZENDA RIO GRANDE,Importado da revisao - sugestao distancia (FAZENDA RIO GRANDE)
MANFRINOPOLIS,PR,FRANCISCO BELTRAO,Importado da revisao - sugestao distancia (FRANCISCO BELTRAO)
